,TM,gmp_people,gmp_congest,Origin
536,2018110314,2248,Y,김포공항
537,2018110315,2163,Y,김포공항
538,2018110316,1276,N,김포공항
539,2018110317,1374,N,김포공항
540,2018110318,1999,Y,김포공항
541,2018110319,1854,N,김포공항
542,2018110320,1599,N,김포공항
543,2018110321,124,N,김포공항
544,2018110406,2553,Y,김포공항
545,2018110407,1771,N,김포공항
546,2018110408,1235,N,김포공항
547,2018110409,1870,Y,김포공항
548,2018110410,764,N,김포공항
549,2018110411,1675,N,김포공항
550,2018110412,1928,N,김포공항
551,2018110413,2220,Y,김포공항
552,2018110414,2337,Y,김포공항
553,2018110415,2491,Y,김포공항
554,2018110416,1388,N,김포공항
555,2018110417,1289,N,김포공항
556,2018110418,2161,Y,김포공항
557,2018110419,2149,Y,김포공항
558,2018110420,1475,N,김포공항
559,2018110421,229,N,김포공항
560,2018110506,2655,Y,김포공항
561,2018110507,2062,Y,김포공항
562,2018110508,1392,N,김포공항
563,2018110509,2177,Y,김포공항
564,2018110510,450,N,김포공항
565,2018110511,1830,Y,김포공항
566,2018110512,1851,Y,김포공항
567,2018110513,2116,Y,김포공항
568,2018110514,2340,Y,김포공항
569,2018110515,1946,Y,김포공항
570,2018110516,1422,N,김포공항
571,2018110517,958,N,김포공항
572,2018110518,2141,Y,김포공항
573,2018110519,1532,N,김포공항
574,2018110520,1454,N,김포공항
575,2018110521,86,N,김포공항
576,2018110606,2641,Y,김포공항
577,2018110607,1943,Y,김포공항
578,2018110608,1548,N,김포공항
579,2018110609,1812,Y,김포공항
580,2018110610,661,N,김포공항
581,2018110611,1805,Y,김포공항
582,2018110612,1800,N,김포공항
583,2018110613,1901,N,김포공항
584,2018110614,2282,Y,김포공항
585,2018110615,1966,Y,김포공항
586,2018110616,1105,N,김포공항
587,2018110617,1134,N,김포공항
588,2018110618,1240,N,김포공항
589,2018110619,1326,N,김포공항
590,2018110620,1140,N,김포공항
591,2018110621,67,N,김포공항
592,2018110706,2647,Y,김포공항
593,2018110707,2081,Y,김포공항
594,2018110708,1368,N,김포공항
595,2018110709,2208,Y,김포공항
596,2018110710,843,N,김포공항
597,2018110711,1688,Y,김포공항
598,2018110712,1819,Y,김포공항
599,2018110713,2170,Y,김포공항
600,2018110714,2186,Y,김포공항
601,2018110715,1591,N,김포공항
602,2018110716,1241,N,김포공항
603,2018110717,850,N,김포공항
604,2018110718,1387,N,김포공항
605,2018110719,1360,N,김포공항
606,2018110720,1203,N,김포공항
607,2018110721,81,N,김포공항
608,2018110806,2792,Y,김포공항
609,2018110807,1831,N,김포공항
610,2018110808,1311,N,김포공항
611,2018110809,1983,Y,김포공항
612,2018110810,652,N,김포공항
613,2018110811,1791,N,김포공항
614,2018110812,1776,N,김포공항
615,2018110813,1843,N,김포공항
616,2018110814,2232,Y,김포공항
617,2018110815,1826,Y,김포공항
618,2018110816,1116,N,김포공항
619,2018110817,1095,N,김포공항
620,2018110818,2002,Y,김포공항
621,2018110819,1619,N,김포공항
622,2018110820,1561,N,김포공항
623,2018110821,147,N,김포공항
624,2018110906,2530,Y,김포공항
625,2018110907,1732,N,김포공항
626,2018110908,1500,N,김포공항
627,2018110909,2098,Y,김포공항
628,2018110910,696,N,김포공항
629,2018110911,1849,N,김포공항
630,2018110912,1704,N,김포공항
631,2018110913,1816,N,김포공항
632,2018110914,2345,Y,김포공항
633,2018110915,2122,Y,김포공항
634,2018110916,1489,N,김포공항
635,2018110917,1226,N,김포공항
636,2018110918,2416,Y,김포공항
637,2018110919,2175,Y,김포공항
638,2018110920,1684,N,김포공항
639,2018110921,221,N,김포공항
640,2018111006,2991,Y,김포공항
641,2018111007,2071,Y,김포공항
642,2018111008,1654,N,김포공항
643,2018111009,1795,N,김포공항
644,2018111010,1001,N,김포공항
645,2018111011,1826,N,김포공항
646,2018111012,1890,N,김포공항
647,2018111013,1899,N,김포공항
648,2018111014,2295,Y,김포공항
649,2018111015,2077,Y,김포공항
650,2018111016,1140,N,김포공항
651,2018111017,1238,N,김포공항
652,2018111018,2019,Y,김포공항
653,2018111019,1766,N,김포공항
654,2018111020,1454,N,김포공항
655,2018111021,137,N,김포공항
656,2018111106,2521,Y,김포공항
657,2018111107,1638,N,김포공항
658,2018111108,1182,N,김포공항
659,2018111109,1530,N,김포공항
660,2018111110,923,N,김포공항
661,2018111111,1630,N,김포공항
662,2018111112,1736,N,김포공항
663,2018111113,2047,Y,김포공항
664,2018111114,2297,Y,김포공항
665,2018111115,2377,Y,김포공항
666,2018111116,1307,N,김포공항
667,2018111117,1259,N,김포공항
668,2018111118,2191,Y,김포공항
669,2018111119,2119,Y,김포공항
670,2018111120,1412,N,김포공항
671,2018111121,205,N,김포공항
672,2018111206,2798,Y,김포공항
673,2018111207,2099,Y,김포공항
674,2018111208,1474,N,김포공항
675,2018111209,2152,Y,김포공항
676,2018111210,651,N,김포공항
677,2018111211,1817,Y,김포공항
678,2018111212,1821,N,김포공항
679,2018111213,1999,N,김포공항
680,2018111214,2120,Y,김포공항
681,2018111215,1760,N,김포공항
682,2018111216,1082,N,김포공항
683,2018111217,844,N,김포공항
684,2018111218,1675,N,김포공항
685,2018111219,1292,N,김포공항
686,2018111220,1102,N,김포공항
687,2018111221,74,N,김포공항
688,2018111306,2564,Y,김포공항
689,2018111307,1800,N,김포공항
690,2018111308,1487,N,김포공항
691,2018111309,1910,N,김포공항
692,2018111310,648,N,김포공항
693,2018111311,1701,N,김포공항
694,2018111312,1544,N,김포공항
695,2018111313,1569,N,김포공항
696,2018111314,1647,N,김포공항
697,2018111315,1207,N,김포공항
698,2018111316,989,N,김포공항
699,2018111317,943,N,김포공항
700,2018111318,1245,N,김포공항
701,2018111319,1295,N,김포공항
702,2018111320,1106,N,김포공항
703,2018111321,71,N,김포공항
704,2018111406,2454,Y,김포공항
705,2018111407,2070,Y,김포공항
706,2018111408,1363,N,김포공항
707,2018111409,2388,Y,김포공항
708,2018111410,1003,N,김포공항
709,2018111411,1702,Y,김포공항
710,2018111412,1668,N,김포공항
711,2018111413,1729,N,김포공항
712,2018111414,1681,N,김포공항
713,2018111415,1408,N,김포공항
714,2018111416,1122,N,김포공항
715,2018111417,771,N,김포공항
716,2018111418,1576,N,김포공항
717,2018111419,1392,N,김포공항
718,2018111420,1297,N,김포공항
719,2018111421,72,N,김포공항
720,2018111506,2792,Y,김포공항
721,2018111507,1902,N,김포공항
722,2018111508,1372,N,김포공항
723,2018111509,2110,Y,김포공항
724,2018111510,795,N,김포공항
725,2018111511,1944,Y,김포공항
726,2018111512,1102,N,김포공항
727,2018111513,1540,N,김포공항
728,2018111514,2007,Y,김포공항
729,2018111515,2278,Y,김포공항
730,2018111516,1210,N,김포공항
731,2018111517,1115,N,김포공항
732,2018111518,1959,N,김포공항
733,2018111519,1597,N,김포공항
734,2018111520,1473,N,김포공항
735,2018111521,190,N,김포공항
736,2018111606,2560,Y,김포공항
737,2018111607,1754,N,김포공항
738,2018111608,1547,N,김포공항
739,2018111609,2108,Y,김포공항
740,2018111610,657,N,김포공항
741,2018111611,1887,Y,김포공항
742,2018111612,1727,N,김포공항
743,2018111613,1811,N,김포공항
744,2018111614,2189,Y,김포공항
745,2018111615,2092,Y,김포공항
746,2018111616,1425,N,김포공항
747,2018111617,1160,N,김포공항
748,2018111618,2145,Y,김포공항
749,2018111619,1844,N,김포공항
750,2018111620,1573,N,김포공항
751,2018111621,222,N,김포공항
752,2018111706,2804,Y,김포공항
753,2018111707,1916,N,김포공항
754,2018111708,1711,N,김포공항
755,2018111709,1804,N,김포공항
756,2018111710,1025,N,김포공항
757,2018111711,1855,N,김포공항
758,2018111712,1714,N,김포공항
759,2018111713,1798,N,김포공항
760,2018111714,2042,Y,김포공항
761,2018111715,1712,N,김포공항
762,2018111716,1127,N,김포공항
763,2018111717,1207,N,김포공항
764,2018111718,1892,Y,김포공항
765,2018111719,1612,N,김포공항
766,2018111720,1392,N,김포공항
767,2018111721,125,N,김포공항
768,2018111806,2433,Y,김포공항
769,2018111807,1663,N,김포공항
770,2018111808,1168,N,김포공항
771,2018111809,1519,N,김포공항
772,2018111810,850,N,김포공항
773,2018111811,1510,N,김포공항
774,2018111812,1634,N,김포공항
775,2018111813,1681,N,김포공항
776,2018111814,2096,Y,김포공항
777,2018111815,2390,Y,김포공항
778,2018111816,1312,N,김포공항
779,2018111817,1291,N,김포공항
780,2018111818,2086,Y,김포공항
781,2018111819,1998,Y,김포공항
782,2018111820,1463,N,김포공항
783,2018111821,224,N,김포공항
784,2018111906,2716,Y,김포공항
